Term	uk	features	countries	made	water	cities	man	landscape	towns	villages	townscapes	regions	adults	counties	inland	natural	transport	religious	military	continents	actions	groups	coasts	animals	seascapes	bridges	viaducts	mammals	motions	periods	postures	styles	ruins	weather	residential	fine	agriculture	fishing	named	landmarks	music	children	land	expressive	qualities	shakespeare	clothing	inscriptions	trees	day	effects	literature	times	personal	arts	phenomena	universal	public	domestic	industrial	imagery	classical	entertainment	containers	vessels	municipal	activities	recreational	nudes	individuals	emotions	human	london	ceremonial	astronomy	art	bible	gardening	functions	testament	myths	processes	social	design	works	weapons	furnishings	matter	printed	monuments	gods	reading	flowers	heroes	portraits	writing	plants	body	politics	scientific	concepts	garden	society	dress	structures	conditions	formal	diseases	birth	rank	commercial	death	royalty	birds	trading	old	measuring	machinery	tools	crafts	family	heating	drinking	lighting	eating	nations	relationships	sex	crime	punishment	places	comment	sport	aquatic	fish	fantastic	life	literary	service	ethnicity	miscellaneous	workspaces
uk	0	3881	3775	1996	2208	3338	1996	1961	3338	3338	1867	2421	1235	2282	1295	1354	1101	740	1116	1358	361	593	728	452	728	532	532	363	158	438	158	438	390	296	277	163	250	250	37	129	192	154	188	145	60	88	41	64	134	185	41	88	185	41	155	93	68	120	208	166	26	8	79	114	114	117	134	134	10	10	33	33	114	48	98	30	0	101	36	0	0	36	4	23	23	55	126	43	43	54	0	43	43	0	6	43	43	10	15	16	42	164	16	4	164	37	27	37	10	4	64	10	4	59	64	0	13	28	28	36	17	37	30	37	30	4	30	30	8	8	12	0	84	3	3	1	3	3	3	5	31	0
features	3881	0	2145	3052	1673	1750	3052	1892	1750	1750	3015	600	800	519	1042	988	746	606	613	1554	170	389	587	216	587	562	562	166	70	256	70	256	243	128	172	43	103	103	13	37	53	79	115	64	34	131	28	106	91	99	28	129	99	28	41	61	50	79	33	92	35	9	36	68	68	78	43	43	18	6	18	18	57	23	61	9	10	49	26	10	4	26	3	6	6	31	24	14	14	40	4	14	16	4	2	14	16	9	9	13	23	35	9	9	35	21	16	19	8	2	36	8	2	22	36	6	10	24	24	17	14	4	13	4	13	9	16	16	6	6	16	1	30	1	1	2	1	1	1	8	15	2
countries	3775	2145	0	1198	975	1662	1198	1045	1662	1662	1146	787	571	723	575	551	482	415	473	1275	140	274	367	177	367	280	280	145	67	221	67	221	171	116	137	61	81	81	17	52	72	55	82	49	22	82	22	45	70	73	22	82	73	22	58	39	26	69	75	56	13	7	39	46	46	68	47	47	5	6	10	10	43	20	44	12	0	32	16	0	1	16	2	9	9	23	43	15	15	34	1	15	17	1	2	15	17	7	6	12	13	65	6	4	65	11	12	11	6	2	24	6	2	20	24	0	10	12	12	10	5	14	13	14	13	4	12	12	4	4	13	0	23	1	1	1	1	1	1	4	9	0
made	1996	3052	1198	0	893	994	2292	1254	994	994	2232	311	454	280	524	363	445	320	341	890	83	224	429	121	429	339	339	95	35	137	35	137	150	75	89	15	68	68	5	60	26	45	76	29	11	59	13	74	46	48	13	59	48	13	16	31	27	52	10	56	16	0	21	37	37	51	26	26	10	4	7	7	22	9	26	0	8	33	13	8	0	13	1	0	0	15	8	11	11	26	0	11	9	0	1	11	9	3	5	6	14	11	4	3	11	10	4	10	6	1	20	6	1	12	20	5	5	12	12	9	7	1	7	1	7	3	8	8	6	6	9	0	8	1	1	1	1	0	1	4	7	0
water	2208	1673	975	893	0	766	893	923	766	766	860	418	548	367	1274	664	1099	183	327	557	85	251	361	151	361	321	321	104	33	75	33	75	84	102	105	18	63	63	1	33	28	46	47	35	18	63	9	26	60	96	9	63	96	9	18	81	28	37	6	59	11	9	13	30	30	36	48	48	12	0	11	11	41	13	45	3	1	20	10	1	6	10	0	1	1	14	6	4	4	14	4	4	6	4	0	4	6	3	3	0	22	42	4	0	42	16	7	14	1	0	26	1	0	25	26	1	0	13	13	11	9	0	7	0	7	0	12	12	12	12	1	0	36	2	2	6	2	3	1	0	17	0
cities	3338	1750	1662	994	766	0	994	811	1662	1662	984	662	454	660	441	374	387	359	421	1002	112	225	288	123	288	231	231	102	56	197	56	197	138	78	111	56	73	73	15	10	63	40	62	40	18	49	13	41	48	54	13	49	54	13	52	28	19	62	71	49	10	1	33	39	39	61	34	34	4	6	9	9	0	17	30	11	0	28	12	0	0	12	2	9	9	15	41	15	15	24	0	15	15	0	2	15	15	3	5	10	9	57	5	2	57	7	9	7	1	2	18	1	2	14	18	0	9	6	6	10	4	13	11	13	11	2	8	8	2	2	12	0	21	1	1	1	1	1	1	1	6	0
man	1996	3052	1198	2292	893	994	0	1254	994	994	2232	311	454	280	524	363	445	320	341	890	83	224	429	121	429	339	339	95	35	137	35	137	150	75	89	15	68	68	5	60	26	45	76	29	11	59	13	74	46	48	13	59	48	13	16	31	27	52	10	56	16	0	21	37	37	51	26	26	10	4	7	7	22	9	26	0	8	33	13	8	0	13	1	0	0	15	8	11	11	26	0	11	9	0	1	11	9	3	5	6	14	11	4	3	11	10	4	10	6	1	20	6	1	12	20	5	5	12	12	9	7	1	7	1	7	3	8	8	6	6	9	0	8	1	1	1	1	0	1	4	7	0
landscape	1961	1892	1045	1254	923	811	1254	0	811	811	1223	396	387	370	681	388	296	233	531	651	108	141	274	181	274	259	259	132	43	116	43	116	189	123	102	20	64	64	11	31	29	38	54	36	21	92	12	40	60	89	12	90	89	12	22	49	21	21	8	52	23	14	14	19	19	21	36	36	19	9	15	15	16	6	38	2	8	27	15	8	7	15	0	0	0	20	4	3	3	18	3	3	21	3	4	3	21	10	2	8	17	50	3	2	50	14	6	11	4	0	7	4	0	16	7	4	7	3	3	8	8	0	8	0	8	2	12	12	14	14	3	0	18	0	0	10	0	10	0	2	3	0
towns	3338	1750	1662	994	766	1662	994	811	0	1662	984	662	454	660	441	374	387	359	421	1002	112	225	288	123	288	231	231	102	56	197	56	197	138	78	111	56	73	73	15	10	63	40	62	40	18	49	13	41	48	54	13	49	54	13	52	28	19	62	71	49	10	1	33	39	39	61	34	34	4	6	9	9	0	17	30	11	0	28	12	0	0	12	2	9	9	15	41	15	15	24	0	15	15	0	2	15	15	3	5	10	9	57	5	2	57	7	9	7	1	2	18	1	2	14	18	0	9	6	6	10	4	13	11	13	11	2	8	8	2	2	12	0	21	1	1	1	1	1	1	1	6	0
villages	3338	1750	1662	994	766	1662	994	811	1662	0	984	662	454	660	441	374	387	359	421	1002	112	225	288	123	288	231	231	102	56	197	56	197	138	78	111	56	73	73	15	10	63	40	62	40	18	49	13	41	48	54	13	49	54	13	52	28	19	62	71	49	10	1	33	39	39	61	34	34	4	6	9	9	0	17	30	11	0	28	12	0	0	12	2	9	9	15	41	15	15	24	0	15	15	0	2	15	15	3	5	10	9	57	5	2	57	7	9	7	1	2	18	1	2	14	18	0	9	6	6	10	4	13	11	13	11	2	8	8	2	2	12	0	21	1	1	1	1	1	1	1	6	0
